1	3.53		1	3.69
2	3.53		2	3.69
3	3.53		3	3.75
4	3.53		4	3.75
5	3.53		5	3.75
6	3.53		6	3.75
7	3.53		7	3.69
8	3.53		8	3.69
9	3.53		9	3.74
10	3.53		10	3.74
11	3.53		11	3.74
12	3.53		12	3.75
13	3.53		13	3.74
14	3.53		14	3.74
15	3.54		15	3.71
16	3.53		16	3.71
17	3.54		17	3.77
18	3.53		18	3.77
19	3.54		19	3.77
20	3.54		20	3.77
21	3.53		21	3.77
22	3.54		22	3.77
23	3.54		23	3.73
24	3.53		24	3.72
25	3.54		25	3.78
26	3.54		26	3.78
27	3.53		27	3.78
28	3.54		28	3.78
29	3.54		29	3.78
30	3.54		30	3.78
31	3.53		31	3.65
32	3.53		32	3.64
33	3.53		33	3.69
34	3.53		34	3.69
35	3.53		35	3.69
36	3.53		36	3.69
37	3.53		37	3.69
38	3.53		38	3.69
39	3.53		39	3.71
40	3.53		40	3.71
41	3.53		41	3.76
42	3.53		42	3.76
43	3.53		43	3.76
44	3.53		44	3.76
45	3.53		45	3.76
46	3.53		46	3.76
47	3.53		47	3.69
48	3.53		48	3.69
49	3.53		49	3.74
50	3.53		50	3.75
51	3.53		51	3.74
52	3.53		52	3.74
53	3.53		53	3.73
54	3.53		54	3.74
55	3.53		55	3.69
56	3.53		56	3.69
57	3.53		57	3.74
58	3.53		58	3.74
59	3.53		59	3.74
60	3.53		60	3.74
61	3.53		61	3.74
62	3.53		62	3.74
63	3.53		63	3.68
64	3.53		64	3.68
65	3.53		65	3.73
66	3.53		66	3.73
67	3.53		67	3.72
68	3.53		68	3.73
69	3.53		69	3.72
70	3.53		70	3.72
71	3.53		71	3.71
72	3.53		72	3.72
73	3.53		73	3.77
74	3.53		74	3.77
75	3.53		75	3.77
76	3.53		76	3.77
77	3.54		77	3.77
78	3.54		78	3.77
79	3.53		79	3.72
80	3.53		80	3.72
81	3.53		81	3.77
82	3.53		82	3.77
83	3.53		83	3.77
84	3.53		84	3.77
85	3.53		85	3.7
86	3.53		86	3.7
87	3.54		87	3.75
88	3.53		88	3.76
89	3.53		89	3.75
90	3.53		90	3.76
91	3.53		91	3.76
92	3.53		92	3.76
93	3.53		93	3.8
94	3.53		94	3.8
95	3.53		95	3.81
96	3.53		96	3.8
